objectif,id_indicateur_meq,id_indicateur_css,description_indicateur,code_matiere,no_competence,
"Indicateur personallise",,"1.1","Taux de diplomation annuel secondaire 5",,
"Indicateur personallise",,"1.2","Taux de qualification annuel FMS",,
"Indicateur personallise",,"1.3","Taux de qualification annuel FPT par cohorte",,
